repeat,frequency_mhz,s21_db
1,222.186000,-21.287074778722
1,222.266000,-21.380482714076
1,222.346000,-21.480489841338
1,222.426000,-21.581410436420
1,222.506000,-21.679196487086
1,222.586000,-21.792408784870
1,222.666000,-21.890610831661
1,222.746000,-22.003494610472
1,222.826000,-22.125708684523
1,222.906000,-22.227456621311
1,222.986000,-22.340302870978
1,223.066000,-22.461460545500
1,223.146000,-22.587294902677
1,223.226000,-22.715153932599
1,223.306000,-22.825905774618
1,223.386000,-22.952954480452
1,223.466000,-23.088167285730
1,223.546000,-23.205312662362
1,223.626000,-23.336226219253
1,223.706000,-23.442503338942
1,223.786000,-23.580889823759
1,223.866000,-23.711328530803
1,223.946000,-23.834654017650
1,224.026000,-23.953564524543
1,224.106000,-24.095661877562
1,224.186000,-24.215091484441
1,224.266000,-24.347037488704
1,224.346000,-24.478600887466
1,224.426000,-24.601203855381
1,224.506000,-24.734349265858
1,224.586000,-24.863040738045
1,224.666000,-24.987882345615
1,224.746000,-25.117939463771
1,224.826000,-25.253091434819
1,224.906000,-25.354555994634
1,224.986000,-25.481301893679
2,216.986000,-24.019362338005
2,217.066000,-23.925170845473
2,217.146000,-23.836973245806
2,217.226000,-23.738161053118
2,217.306000,-23.634630715832
2,217.386000,-23.547588542801
2,217.466000,-23.445897839417
2,217.546000,-23.349121077437
2,217.626000,-23.252201794279
2,217.706000,-23.158368284162
2,217.786000,-23.061967591308
2,217.866000,-22.962932400399
2,217.946000,-22.866460676954
2,218.026000,-22.772242369254
2,218.106000,-22.671681145785
2,218.186000,-22.567563684737
2,218.266000,-22.482378202220
2,218.346000,-22.371841164522
2,218.426000,-22.276582988040
2,218.506000,-22.184314496918
2,218.586000,-22.104802992469
2,218.666000,-22.006970298913
2,218.746000,-21.916650811680
2,218.826000,-21.813229348278
2,218.906000,-21.728757621948
2,218.986000,-21.641388014114
2,219.066000,-21.555070326625
2,219.146000,-21.469847879983
2,219.226000,-21.386511522029
2,219.306000,-21.299334584197
2,219.386000,-21.234163082910
2,219.466000,-21.158009165939
2,219.546000,-21.080057461235
2,219.626000,-21.011582027014
2,219.706000,-20.944904865374
2,219.786000,-20.876960356810
2,219.866000,-20.835016931035
2,219.946000,-20.773009498582
2,220.026000,-20.724681859513
2,220.106000,-20.676623848327
2,220.186000,-20.641018840621
2,220.266000,-20.592702298655
2,220.346000,-20.567215566105
2,220.426000,-20.529742999244
2,220.506000,-20.511576009238
2,220.586000,-20.499112768372
2,220.666000,-20.484435756159
2,220.746000,-20.475974085582
2,220.826000,-20.465637803438
2,220.906000,-20.476687541869
2,220.986000,-20.483241575313
2,221.066000,-20.501890289950
2,221.146000,-20.523041331680
2,221.226000,-20.556522148644
2,221.306000,-20.590758376481
2,221.386000,-20.617402416846
2,221.466000,-20.666181917551
2,221.546000,-20.711965210601
2,221.626000,-20.775678440464
2,221.706000,-20.824885859020
2,221.786000,-20.895087081614
2,221.866000,-20.967632431634
2,221.946000,-21.037795385649
2,222.026000,-21.119794610291
2,222.106000,-21.192614624155
2,222.186000,-21.293937906285
2,222.266000,-21.382277591520
2,222.346000,-21.479013018705
2,222.426000,-21.574179521268
2,222.506000,-21.678535857429
2,222.586000,-21.782028953025
2,222.666000,-21.889942949942
2,222.746000,-22.002298745096
2,222.826000,-22.118627648757
2,222.906000,-22.233938020692
2,222.986000,-22.340630753633
2,223.066000,-22.462028998254
2,223.146000,-22.582158593988
2,223.226000,-22.699464139983
2,223.306000,-22.830565265599
2,223.386000,-22.945562326249
2,223.466000,-23.082748959879
2,223.546000,-23.201680047452
2,223.626000,-23.334129376152
2,223.706000,-23.457830322194
2,223.786000,-23.576808514621
2,223.866000,-23.719043495916
2,223.946000,-23.832500678431
2,224.026000,-23.958948742384
2,224.106000,-24.069930434556
2,224.186000,-24.219980034543
2,224.266000,-24.348693047339
2,224.346000,-24.464885200866
2,224.426000,-24.603054947400
2,224.506000,-24.735080733322
2,224.586000,-24.858483903842
2,224.666000,-24.968659503413
2,224.746000,-25.106391353558
2,224.826000,-25.245823921670
2,224.906000,-25.361910233565
2,224.986000,-25.484601380450
3,216.986000,-24.015604571810
3,217.066000,-23.923079153575
3,217.146000,-23.839683423680
3,217.226000,-23.729299546780
3,217.306000,-23.640418299813
3,217.386000,-23.542417378031
3,217.466000,-23.437899951453
3,217.546000,-23.333042949036
3,217.626000,-23.256343157773
3,217.706000,-23.156967435219
