frequency_hz,mean_power_per_hz,peak_power_per_hz,group_start_hz,group_end_hz
7894237.51831,2.13896519276e-09,1.27629045199e-08,7869529.72412,7918945.3125
7944042.20581,3.0854066842e-09,4.41085434513e-08,7919334.41162,7968750
7993846.89331,3.68783094762e-09,3.98201040725e-08,7969139.09912,8018554.6875
8043651.58081,1.85575716538e-09,8.54376347591e-09,8018943.78662,8068359.375
8093456.26831,1.70022462629e-09,7.55598227579e-09,8068748.47412,8118164.0625
8143260.95581,2.13940450766e-09,2.75184482828e-08,8118553.16162,8167968.75
8193065.64331,2.78249576854e-09,2.88834121755e-08,8168357.84912,8217773.4375
8242870.33081,2.30363573729e-09,1.18416600328e-08,8218162.53662,8267578.125
8292675.01831,2.41843910281e-09,1.1147571285e-08,8267967.22412,8317382.8125
8342479.70581,3.2492705717e-09,4.55926577705e-08,8317771.91162,8367187.5
8392284.39331,3.52516458865e-09,4.86020704233e-08,8367576.59912,8416992.1875
8442089.08081,2.3602720498e-09,1.79727595354e-08,8417381.28662,8466796.875
8491893.76831,2.65768465705e-09,1.38842389232e-08,8467185.97412,8516601.5625
8541698.45581,3.24888981228e-09,3.2195686408e-08,8516990.66162,8566406.25
8591503.14331,3.14681701331e-09,4.171498394e-08,8566795.34912,8616210.9375
8641307.83081,3.09223919235e-09,2.38185096094e-08,8616600.03662,8666015.625
8691112.51831,2.25419959715e-09,1.24480481089e-08,8666404.72412,8715820.3125
8740917.20581,3.37061158152e-09,3.92412581027e-08,8716209.41162,8765625
8790721.89331,3.70459649158e-09,4.25732668634e-08,8766014.09912,8815429.6875
8840526.58081,2.50335449093e-09,1.53553350832e-08,8815818.78662,8865234.375
8890331.26831,2.3072201179e-09,9.58404465166e-09,8865623.47412,8915039.0625
8940135.95581,4.11843295375e-09,5.55377333372e-08,8915428.16162,8964843.75
8989940.64331,3.84564678497e-09,4.34385461415e-08,8965232.84912,9014648.4375
9039745.33081,2.55601307409e-09,2.12919349262e-08,9015037.53662,9064453.125
9089550.01831,3.10359792782e-09,2.63330594406e-08,9064842.22412,9114257.8125
9139354.70581,3.95041502152e-09,3.50043231579e-08,9114646.91162,9164062.5
9189159.39331,4.01023649703e-09,3.86941290366e-08,9164451.59912,9213867.1875
9238964.08081,3.70472902597e-09,3.84518905637e-08,9214256.28662,9263671.875
9288768.76831,2.562945215e-09,1.10305236197e-08,9264060.97412,9313476.5625
9338573.45581,3.55725997178e-09,4.50580180808e-08,9313865.66162,9363281.25
9388378.14331,3.68836370515e-09,5.02899776176e-08,9363670.34912,9413085.9375
9438182.83081,2.06739967412e-09,2.23449463311e-08,9413475.03662,9462890.625
9487987.51831,2.03973274483e-09,1.17919202997e-08,9463279.72412,9512695.3125
9537792.20581,3.87110331871e-09,7.58657269682e-08,9513084.41162,9562500
9587596.89331,3.40251297848e-09,5.66968083732e-08,9562889.09912,9612304.6875
9637401.58081,2.23327193549e-09,1.43845778065e-08,9612693.78662,9662109.375
9687206.26831,2.1417889387e-09,1.12313206012e-08,9662498.47412,9711914.0625
9737010.95581,3.7370961017e-09,6.78591482637e-08,9712303.16162,9761718.75
9786815.64331,3.23575729227e-09,4.81917823118e-08,9762107.84912,9811523.4375
9836620.33081,1.94463189474e-09,1.13739969215e-08,9811912.53662,9861328.125
9886425.01831,2.08903617344e-09,9.42541013466e-09,9861717.22412,9911132.8125
9936229.70581,2.69235917984e-09,3.96867398204e-08,9911521.91162,9960937.5
9986034.39331,4.37986570041e-09,4.23918137995e-08,9961326.59912,10010742.1875
10035839.0808,1.55381545377e-09,1.26281329916e-08,10011131.2866,10060546.875
10085643.7683,2.08908513532e-09,1.15794256296e-08,10060935.9741,10110351.5625
10135448.4558,2.58230679811e-09,5.27730941785e-08,10110740.6616,10160156.25
10185253.1433,4.94961914063e-09,5.7114404551e-08,10160545.3491,10209960.9375
10235057.8308,2.54049298141e-09,1.34104675997e-08,10210350.0366,10259765.625
10284862.5183,1.78564254496e-09,9.78993749104e-09,10260154.7241,10309570.3125
10334667.2058,2.89918512208e-09,6.20347292847e-08,10309959.4116,10359375
10384471.8933,4.59788893623e-09,6.62340137408e-08,10359764.0991,10409179.6875
