frequency_hz,receiver_dbfs_per_bin
222545898.438,-75.686152
222546044.922,-75.889484
222546191.406,-75.467890
222546337.891,-75.213734
222546484.375,-75.330490
222546630.859,-75.499828
222546777.344,-75.164304
222546923.828,-75.194829
222547070.312,-75.404655
222547216.797,-75.617737
222547363.281,-75.510778
222547509.766,-75.552510
222547656.250,-75.311114
222547802.734,-75.358695
222547949.219,-75.589351
222548095.703,-75.536068
222548242.188,-75.526209
222548388.672,-75.308202
222548535.156,-75.371772
222548681.641,-75.375829
222548828.125,-75.513914
222548974.609,-75.527718
222549121.094,-75.477571
222549267.578,-75.546190
222549414.062,-75.162414
222549560.547,-75.508446
222549707.031,-75.594810
222549853.516,-75.427526
222550000.000,-75.234214
222550146.484,-75.226499
222550292.969,-75.151216
222550439.453,-75.324913
222550585.938,-75.092329
222550732.422,-75.148608
222550878.906,-75.158669
222551025.391,-75.679351
222551171.875,-75.815872
222551318.359,-75.167479
222551464.844,-75.167805
222551611.328,-75.238379
222551757.812,-74.960131
222551904.297,-75.434878
222552050.781,-75.236662
222552197.266,-75.160927
222552343.750,-75.380460
222552490.234,-75.492066
222552636.719,-75.315857
222552783.203,-75.253936
222552929.688,-75.209135
222553076.172,-75.324747
222553222.656,-74.916763
222553369.141,-74.926922
222553515.625,-75.006357
222553662.109,-75.084891
222553808.594,-75.283073
222553955.078,-75.074972
222554101.562,-74.998960
222554248.047,-74.867180
222554394.531,-75.013350
222554541.016,-75.013928
222554687.500,-74.919334
222554833.984,-74.953145
222554980.469,-74.971780
222555126.953,-75.201361
222555273.438,-74.864198
222555419.922,-74.550053
222555566.406,-74.540780
222555712.891,-74.630414
222555859.375,-74.482116
222556005.859,-74.222197
222556152.344,-74.054269
222556298.828,-74.128957
222556445.312,-74.217236
222556591.797,-73.882121
222556738.281,-74.001894
222556884.766,-73.926006
222557031.250,-73.625358
222557177.734,-73.673626
222557324.219,-73.548342
222557470.703,-73.797072
222557617.188,-73.684173
222557763.672,-73.436805
222557910.156,-73.519586
222558056.641,-73.166634
222558203.125,-73.001120
222558349.609,-72.710712
222558496.094,-72.970811
222558642.578,-72.896799
222558789.062,-72.750713
222558935.547,-72.776929
222559082.031,-72.755817
222559228.516,-73.099585
222559375.000,-73.501850
222559521.484,-73.679789
222559667.969,-73.612754
222559814.453,-73.467923
222559960.938,-73.304044
222560107.422,-73.276272
222560253.906,-73.428701
222560400.391,-73.454920
222560546.875,-73.178358
222560693.359,-73.052734
222560839.844,-72.845830
222560986.328,-72.964204
222561132.812,-73.144226
222561279.297,-73.101952
222561425.781,-73.099642
222561572.266,-72.966171
222561718.750,-72.969801
222561865.234,-72.758056
222562011.719,-72.729657
222562158.203,-72.732162
222562304.688,-72.725172
222562451.172,-72.895931
222562597.656,-72.902166
222562744.141,-72.966265
222562890.625,-73.396693
222563037.109,-73.710349
