view,offset_hz,tx_on_receiver_db_per_hz,rf_off_receiver_db_per_hz
target,-60433.960,-89.327299,-104.600925
target,-60424.805,-90.201805,-103.183819
target,-60415.649,-90.039924,-104.330072
target,-60406.494,-90.783410,-105.029284
target,-60397.339,-89.723110,-103.382939
target,-60388.184,-89.693059,-102.155715
target,-60379.028,-89.788507,-104.027663
target,-60369.873,-89.174577,-104.821682
target,-60360.718,-88.266168,-105.833178
target,-60351.562,-88.737195,-104.549336
target,-60342.407,-89.599440,-103.553599
target,-60333.252,-88.685385,-103.083271
target,-60324.097,-88.458699,-102.652835
target,-60314.941,-89.493599,-102.412801
target,-60305.786,-89.312080,-102.964318
target,-60296.631,-90.630120,-103.581353
target,-60287.476,-90.015928,-102.913112
target,-60278.320,-89.364427,-103.453705
target,-60269.165,-90.494247,-104.026193
target,-60260.010,-92.296599,-104.046146
target,-60250.854,-91.231157,-103.256811
target,-60241.699,-90.375596,-103.764008
target,-60232.544,-91.302545,-102.743516
target,-60223.389,-91.918066,-103.362682
target,-60214.233,-90.748031,-103.541736
target,-60205.078,-90.416704,-105.513969
target,-60195.923,-90.838303,-106.264548
target,-60186.768,-92.686910,-104.990951
target,-60177.612,-91.577688,-104.665970
target,-60168.457,-91.188480,-104.552427
target,-60159.302,-91.040472,-103.556824
target,-60150.146,-91.086605,-103.199954
target,-60140.991,-90.744577,-104.664377
target,-60131.836,-90.408809,-103.353421
target,-60122.681,-91.334249,-103.814917
target,-60113.525,-91.172992,-103.103470
target,-60104.370,-92.356678,-104.594855
target,-60095.215,-90.606335,-103.694235
target,-60086.060,-90.228320,-103.980105
target,-60076.904,-89.913851,-103.706172
target,-60067.749,-90.031334,-103.573408
target,-60058.594,-91.295161,-103.836981
target,-60049.438,-91.381591,-103.562719
target,-60040.283,-91.066369,-104.377365
target,-60031.128,-90.228502,-103.791421
target,-60021.973,-91.122420,-104.146184
target,-60012.817,-92.168444,-104.409720
target,-60003.662,-91.454242,-103.081432
target,-59994.507,-90.875004,-104.980515
target,-59985.352,-90.642338,-104.204168
