offset_hz,q_positive_dbfs_per_bin,q_negative_dbfs_per_bin
1583.862,-88.775732,-89.469590
1602.173,-88.511553,-88.060572
1620.483,-89.253263,-88.797795
1638.794,-88.889155,-89.766697
1657.105,-90.376247,-89.471315
1675.415,-90.310858,-90.663557
1693.726,-88.535876,-85.631891
1712.036,-81.030468,-73.941771
1730.347,-55.477708,-52.522184
1748.657,-50.770562,-49.062447
1766.968,-57.996835,-57.735272
1785.278,-85.313758,-81.290001
1803.589,-88.809503,-88.719799
1821.899,-89.071019,-89.208679
1840.210,-89.643348,-89.256520
1858.521,-90.281930,-89.547526
1876.831,-89.895339,-89.427111
1895.142,-90.445956,-89.850776
1913.452,-90.693979,-90.299879
1931.763,-89.852714,-88.343703
1950.073,-89.991300,-88.131003
1968.384,-86.713362,-84.192150
1986.694,-74.457044,-73.201169
2005.005,-74.004841,-73.713501
2023.316,-84.825498,-85.184319
2041.626,-88.219156,-89.335549
2059.937,-88.312112,-89.288873
2078.247,-89.412627,-88.881947
2096.558,-90.337579,-89.776432
2114.868,-89.266816,-89.650190
2133.179,-90.136791,-89.979123
2151.489,-88.657926,-88.824999
2169.800,-88.817231,-88.562270
2188.110,-89.428054,-89.554205
2206.421,-84.085986,-84.916200
2224.732,-61.974565,-58.435444
2243.042,-53.175610,-51.110952
2261.353,-56.559676,-55.732066
2279.663,-78.178948,-81.389611
2297.974,-87.732245,-88.625001
2316.284,-89.680378,-90.364905
2334.595,-90.385300,-89.936234
2352.905,-89.737806,-89.409296
2371.216,-88.772774,-89.497391
2389.526,-88.541845,-90.043434
2407.837,-88.923247,-89.956700
2426.148,-89.136615,-89.362119
2444.458,-89.200028,-88.877138
2462.769,-89.443154,-90.158447
2481.079,-90.184420,-89.588876
2499.390,-90.183539,-88.208724
2517.700,-89.623397,-88.835613
2536.011,-89.893507,-89.790790
2554.321,-89.758245,-90.250785
2572.632,-89.433386,-88.860840
2590.942,-90.090836,-89.388611
2609.253,-88.985685,-89.415195
2627.564,-89.545053,-89.655554
2645.874,-89.069335,-91.123010
2664.185,-88.125380,-88.834401
2682.495,-88.140929,-85.240760
2700.806,-80.109348,-78.073157
2719.116,-63.909097,-59.488975
2737.427,-49.914483,-47.520079
2755.737,-49.744445,-48.536990
2774.048,-63.145066,-64.210126
2792.358,-80.203884,-79.315343
2810.669,-87.211354,-86.791683
2828.980,-89.775500,-88.761807
2847.290,-88.589932,-89.752433
2865.601,-90.504155,-89.829581
2883.911,-88.076464,-90.474440
2902.222,-85.807572,-88.849928
2920.532,-80.788258,-88.974253
2938.843,-74.265816,-84.511950
2957.153,-63.265760,-73.506962
2975.464,-37.744051,-43.445477
2993.775,-29.564395,-36.662176
3012.085,-33.430320,-41.769042
3030.396,-56.717427,-70.691038
3048.706,-70.608075,-83.337409
3067.017,-78.454498,-86.925047
3085.327,-83.998414,-89.668772
3103.638,-86.515044,-91.149425
3121.948,-88.155778,-90.161021
3140.259,-88.990220,-89.732057
3158.569,-89.953268,-89.429886
3176.880,-88.948946,-88.621972
3195.191,-88.008934,-85.603644
3213.501,-79.373021,-73.446797
3231.812,-57.282257,-54.505749
3250.122,-53.563640,-51.967451
3268.433,-61.952468,-61.803794
3286.743,-84.963324,-82.763155
3305.054,-91.833781,-89.417828
3323.364,-89.793097,-87.872843
3341.675,-89.500842,-88.132143
3359.985,-90.376382,-89.551986
3378.296,-92.260507,-90.135828
3396.607,-90.372768,-89.241258
3414.917,-89.648007,-90.450109
3433.228,-90.545279,-90.002783
3451.538,-90.112526,-89.475619
3469.849,-90.961467,-89.743266
3488.159,-90.244764,-89.371889
3506.470,-89.583080,-88.162776
3524.780,-89.194698,-89.001035
3543.091,-89.692801,-90.116048
3561.401,-89.322391,-89.373513
3579.712,-89.668804,-88.417020
3598.023,-89.494176,-89.017279
3616.333,-90.077599,-89.106883
3634.644,-89.877242,-89.982644
3652.954,-90.308341,-89.357116
3671.265,-90.426301,-89.228667
3689.575,-88.757872,-88.592209
3707.886,-89.004010,-89.376133
3726.196,-78.506196,-75.702159
3744.507,-71.239379,-69.421069
3762.817,-75.602686,-74.882699
3781.128,-90.105013,-89.075958
3799.439,-90.351887,-90.084704
3817.749,-90.669954,-91.219890
3836.060,-91.394486,-88.786692
3854.370,-91.971129,-87.656107
3872.681,-89.824412,-88.509622
3890.991,-89.299748,-89.036831
3909.302,-89.064738,-89.598397
3927.612,-89.616325,-89.229948
3945.923,-90.580167,-89.206869
3964.233,-90.605911,-90.087595
3982.544,-88.738009,-89.153331
4000.855,-88.449238,-88.579299
4019.165,-90.544537,-89.418328
4037.476,-90.456134,-88.837369
4055.786,-90.828171,-90.168674
4074.097,-91.193391,-90.717832
4092.407,-90.225516,-89.438144
4110.718,-91.148287,-89.506339
4129.028,-90.473027,-89.033861
4147.339,-89.427111,-89.320912
4165.649,-90.018107,-90.538395
4183.960,-89.950928,-89.299760
4202.271,-89.955569,-89.003042
4220.581,-84.272584,-81.334978
4238.892,-73.232292,-71.263202
4257.202,-73.851828,-73.289910
4275.513,-86.276702,-88.063703
4293.823,-90.041298,-88.344139
4312.134,-91.140235,-89.434786
4330.444,-90.200790,-90.682386
4348.755,-89.489770,-90.773360
4367.066,-89.261096,-89.953112
4385.376,-89.275382,-90.760278
4403.687,-89.404860,-90.902565
4421.997,-88.729201,-90.523436
4440.308,-89.002840,-89.674955
4458.618,-88.520439,-90.006777
