physical,role,frequency_hz,tx_on_dbfs_per_hz,same_capture_rf_off_dbfs_per_hz,signed_on_minus_off_linear_per_hz,positive_on_minus_off_dbfs_per_hz,in_mandatory_222p5_223p0_baseline
139,baseline_center,222914843.750000,-99.5513489382,-110.424573901,1.01814386052e-10,-99.9219085322,1
139,baseline_center,222914941.406250,-99.6133992004,-110.209990356,9.97820639302e-11,-100.009475172,1
139,baseline_center,222915039.062500,-99.7052179689,-110.004075913,9.7032647479e-11,-100.13082119,1
139,baseline_center,222915136.718750,-99.8126519796,-110.058440785,9.45419100524e-11,-100.243756278,1
139,baseline_center,222915234.375000,-100.286026652,-110.190906405,8.4056243398e-11,-100.754300232,1
139,baseline_center,222915332.031250,-99.7863911094,-110.02006017,9.50875774896e-11,-100.218762168,1
139,baseline_center,222915429.687500,-99.6023064281,-109.993966095,9.95757006571e-11,-100.01846629,1
139,baseline_center,222915527.343750,-99.7746188211,-110.206789165,9.57916043147e-11,-100.186725531,1
139,baseline_center,222915625.000000,-99.6838738336,-110.078059391,9.77286780198e-11,-100.099779759,1
139,baseline_center,222915722.656250,-99.7927381854,-110.041947678,9.49842142016e-11,-100.223485658,1
139,baseline_center,222915820.312500,-99.8361662883,-110.09561462,9.40622242412e-11,-100.265847559,1
139,baseline_center,222915917.968750,-99.4553216229,-110.251938353,1.0392569216e-10,-99.8327707435,1
139,baseline_center,222916015.625000,-99.8076045746,-110.471055848,9.55575547464e-11,-100.197349721,1
139,baseline_center,222916113.281250,-99.9263606412,-110.259072944,9.22891591805e-11,-100.348493107,1
139,baseline_center,222916210.937500,-100.072187672,-110.054516192,8.84762990514e-11,-100.531730521,1
139,baseline_center,222916308.593750,-100.274606994,-110.111568319,8.41263219557e-11,-100.750680982,1
139,baseline_center,222916406.250000,-99.7588352443,-109.926450062,9.55393008547e-11,-100.198179412,1
139,baseline_center,222916503.906250,-99.4077842288,-109.992659353,1.04592836387e-10,-99.8049805948,1
139,baseline_center,222916601.562500,-98.7069910298,-110.19170998,1.25111141814e-10,-99.0270401234,1
139,baseline_center,222916699.218750,-97.4304095957,-110.090942464,1.70907594933e-10,-97.6723863731,1
139,baseline_center,222916796.875000,-98.2803861681,-110.305619339,1.39259876667e-10,-98.5617399379,1
139,baseline_center,222916894.531250,-99.5373300077,-110.218505407,1.01732221786e-10,-99.925414706,1
139,baseline_center,222916992.187500,-99.2598055287,-110.315747048,1.0928341916e-10,-99.6144572564,1
139,baseline_center,222917089.843750,-99.1354586575,-110.238963314,1.12561863595e-10,-99.4860872525,1
139,baseline_center,222917187.500000,-99.17761551,-110.260129674,1.11429101895e-10,-99.5300136983,1
139,baseline_center,222917285.156250,-99.1648499107,-110.053429165,1.11325729049e-10,-99.5340445208,1
139,baseline_center,222917382.812500,-99.566359766,-110.179128484,1.00904512312e-10,-99.9608941227,1
139,baseline_center,222917480.468750,-99.9637894663,-110.098080954,9.10605726167e-11,-100.40669623,1
139,baseline_center,222917578.125000,-99.7365680147,-110.251481487,9.68160998311e-11,-100.140524166,1
139,baseline_center,222917675.781250,-99.9387199419,-110.327904876,9.21482569109e-11,-100.355128755,1
139,baseline_center,222917773.437500,-99.9056067047,-110.083155222,9.23869287563e-11,-100.3438947,1
139,baseline_center,222917871.093750,-99.9859559774,-109.965184504,9.02434111661e-11,-100.445844969,1
139,baseline_center,222917968.750000,-99.6655863485,-109.747568687,9.74059103066e-11,-100.114146906,1
139,baseline_center,222918066.406250,-99.3885587095,-109.864990394,1.04802483163e-10,-99.7962842717,1
139,baseline_center,222918164.062500,-100.030483111,-109.960115495,8.9208297515e-11,-100.495947488,1
139,baseline_center,222918261.718750,-100.242363082,-109.93651016,8.44249789266e-11,-100.735290391,1
139,baseline_center,222918359.375000,-99.7925292306,-110.195546109,9.53334129628e-11,-100.207548588,1
139,baseline_center,222918457.031250,-99.7970550643,-110.014668405,9.48176025802e-11,-100.231110298,1
139,baseline_center,222918554.687500,-99.6059256377,-109.607647138,9.85528230639e-11,-100.063309308,1
139,baseline_center,222918652.343750,-99.3792502536,-109.92886577,1.05200098826e-10,-99.779838522,1
139,baseline_center,222918750.000000,-99.5898914515,-110.117720218,1.00170750947e-10,-99.9925907045,1
139,baseline_center,222918847.656250,-99.5360863023,-110.333430133,1.02012422084e-10,-99.9134694084,1
139,baseline_center,222918945.312500,-99.6392937875,-110.491553657,9.9730370647e-11,-100.011725669,1
139,baseline_center,222919042.968750,-99.7286461864,-110.23322397,9.6970332521e-11,-100.133611151,1
139,baseline_center,222919140.625000,-99.3621113752,-109.883606193,1.0554978362e-10,-99.7654265267,1
139,baseline_center,222919238.281250,-99.8085997362,-109.902197107,9.42779571335e-11,-100.255898366,1
139,baseline_center,222919335.937500,-99.9278853301,-109.991463676,9.16546896508e-11,-100.378453088,1
139,baseline_center,222919433.593750,-99.9170674803,-110.125421358,9.22126042777e-11,-100.352097124,1
139,baseline_center,222919531.250000,-99.4128892568,-110.163146049,1.04843800525e-10,-99.7945724453,1
139,baseline_center,222919628.906250,-99.6245210539,-110.274676402,9.96433528251e-11,-100.015516676,1
139,baseline_center,222919726.562500,-99.8253594609,-110.411473832,9.50071485479e-11,-100.222437162,1
139,baseline_center,222919824.218750,-99.9360724575,-110.429424196,9.24243461888e-11,-100.342136129,1
139,baseline_center,222919921.875000,-99.5930275243,-109.67220547,9.90400080728e-11,-100.041893329,1
139,baseline_center,222920019.531250,-99.4895599122,-109.869450344,1.02166728668e-10,-99.9069051231,1
139,baseline_center,222920117.187500,-99.8849015973,-109.774278817,9.2152183897e-11,-100.354943681,1
139,baseline_center,222920214.843750,-98.8354156135,-109.916463119,1.20560827588e-10,-99.1879377947,1
139,baseline_center,222920312.500000,-98.7742662963,-110.319855802,1.23319140753e-10,-99.0896950995,1
139,baseline_center,222920410.156250,-99.0850845782,-110.351376071,1.14227335773e-10,-99.4222995253,1
139,baseline_center,222920507.812500,-98.9691650339,-110.106518617,1.17031845353e-10,-99.3169594698,1
139,baseline_center,222920605.468750,-99.0078329708,-110.173090205,1.16056402102e-10,-99.3533089725,1
139,baseline_center,222920703.125000,-99.2554724383,-110.315655153,1.09401594557e-10,-99.60976348,1
139,baseline_center,222920800.781250,-99.771646449,-109.858167602,9.50667520105e-11,-100.219713437,1
139,baseline_center,222920898.437500,-99.574475838,-110.268564782,1.00893795152e-10,-99.9613554154,1
139,baseline_center,222920996.093750,-100.271142006,-110.140656957,8.42663096911e-11,-100.743460249,1
139,baseline_center,222921093.750000,-99.7425026786,-109.984287367,9.60721465504e-11,-100.174025057,1
139,baseline_center,222921191.406250,-98.9268695808,-110.009981863,1.18053339883e-10,-99.2792172165,1
139,baseline_center,222921289.062500,-99.4665799935,-109.9473809,1.02946699394e-10,-99.8738757287,1
139,baseline_center,222921386.718750,-99.6828104192,-110.080438468,9.77603950662e-11,-100.09837052,1
139,baseline_center,222921484.375000,-99.3959747118,-110.036097198,1.05004601294e-10,-99.7879166976,1
139,baseline_center,222921582.031250,-99.4474261589,-110.081598269,1.03754500671e-10,-99.8399305535,1
139,baseline_center,222921679.687500,-99.8184762163,-110.20426712,9.47277732625e-11,-100.235226714,1
139,baseline_center,222921777.343750,-99.5494986364,-110.195385216,1.01370207999e-10,-99.9408966239,1
139,baseline_center,222921875.000000,-99.5025398313,-109.971125459,1.02069539382e-10,-99.911038451,1
139,baseline_center,222921972.656250,-99.7227122187,-109.969385421,9.65222810537e-11,-100.153724232,1
139,baseline_center,222922070.312500,-99.3064735985,-110.136000587,1.0762305606e-10,-99.6809467991,1
139,baseline_center,222922167.968750,-99.4023793678,-110.267903408,1.05350704729e-10,-99.7736255489,1
139,baseline_center,222922265.625000,-99.3379192963,-110.276006167,1.07084143564e-10,-99.7027483237,1
139,baseline_center,222922363.281250,-99.3897725536,-110.05971693,1.05222628236e-10,-99.7789085466,1
139,baseline_center,222922460.937500,-99.9344550355,-109.934072485,9.13677131633e-11,-100.392072449,1
139,baseline_center,222922558.593750,-99.4360426742,-110.078525644,1.04045624466e-10,-99.8277617889,1
139,baseline_center,222922656.250000,-99.1495691,-110.243056944,1.12174953953e-10,-99.5010410007,1
139,baseline_center,222922753.906250,-99.3774813386,-109.996943847,1.05405199394e-10,-99.7713796585,1
139,baseline_center,222922851.562500,-100.011782468,-110.213808094,9.02094555965e-11,-100.447479381,1
139,baseline_center,222922949.218750,-99.7353236574,-110.235611076,9.68119982366e-11,-100.140708158,1
139,baseline_center,222923046.875000,-99.122823912,-110.175787935,1.1277870191e-10,-99.4777290848,1
139,baseline_center,222923144.531250,-98.92796709,-109.886845258,1.17734059245e-10,-99.2909788208,1
139,baseline_center,222923242.187500,-99.0609319322,-109.805689532,1.13681013167e-10,-99.4431206447,1
139,baseline_center,222923339.843750,-99.5842019534,-109.978121555,9.99969005685e-11,-100.000134609,1
139,baseline_center,222923437.500000,-99.6069523293,-109.985558625,9.94391243467e-11,-100.024427087,1
139,baseline_center,222923535.156250,-99.0691829999,-110.111814433,1.14157141405e-10,-99.4249691487,1
139,baseline_center,222923632.812500,-98.8340603973,-110.367664621,1.21607583169e-10,-99.1503934262,1
139,baseline_center,222923730.468750,-99.1620932608,-110.209005868,1.11750271964e-10,-99.5175141126,1
