capture_role,frequency_hz,tx_on_dbfs_per_hz,same_capture_rf_off_dbfs_per_hz,positive_tx_on_minus_off_dbfs_per_hz
physical37_mandatory_baseline_222p5_223p0,222923339.843750000,-83.749492107,-104.275162609,-83.7881420024
physical37_mandatory_baseline_222p5_223p0,222923413.085937500,-84.1147563536,-103.889186641,-84.1607437289
physical37_mandatory_baseline_222p5_223p0,222923486.328125000,-84.6398629829,-104.283311588,-84.6872661604
physical37_mandatory_baseline_222p5_223p0,222923559.570312500,-84.702637632,-104.090265852,-84.7529336803
physical37_mandatory_baseline_222p5_223p0,222923632.812500000,-85.1093451287,-103.691569303,-85.169961395
physical37_mandatory_baseline_222p5_223p0,222923706.054687500,-84.9559554743,-103.858111629,-85.0122388094
physical37_mandatory_baseline_222p5_223p0,222923779.296875000,-84.2443315694,-104.691578332,-84.2836889346
physical37_mandatory_baseline_222p5_223p0,222923852.539062500,-84.2923763998,-104.533729584,-84.3336536942
physical37_mandatory_baseline_222p5_223p0,222923925.781250000,-84.880060428,-104.397018636,-84.9288724509
physical37_mandatory_baseline_222p5_223p0,222923999.023437500,-84.8345427396,-104.435558998,-84.88241391
physical37_mandatory_baseline_222p5_223p0,222924072.265625000,-84.5675252122,-104.352515302,-84.6134003137
physical37_mandatory_baseline_222p5_223p0,222924145.507812500,-84.272935475,-104.37931622,-84.3155221595
physical37_mandatory_baseline_222p5_223p0,222924218.750000000,-84.8880535261,-104.152677733,-84.9398031027
physical37_mandatory_baseline_222p5_223p0,222924291.992187500,-85.0861231875,-103.983595918,-85.1424676468
physical37_mandatory_baseline_222p5_223p0,222924365.234375000,-84.8297616152,-104.388784337,-84.8781005129
physical37_mandatory_baseline_222p5_223p0,222924438.476562500,-84.4653294722,-104.483827297,-84.5087910808
physical37_mandatory_baseline_222p5_223p0,222924511.718750000,-84.0823227993,-104.43149806,-84.1225832146
physical37_mandatory_baseline_222p5_223p0,222924584.960937500,-84.3336435954,-104.538121012,-84.3752745582
physical37_mandatory_baseline_222p5_223p0,222924658.203125000,-84.2081814718,-104.593783333,-84.2481040633
physical37_mandatory_baseline_222p5_223p0,222924731.445312500,-83.8480333112,-104.159712461,-83.888644469
